Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1,2013,NBA,1,22,BRK,Mason Plumlee,23.12,F,,Duke University,2014,2016,192,21.2,8.4,5.9,1.3,0.8,0.8,0.581,0.585,0,0.563,12,0.142
2,2013,NBA,1,27,DEN,Rudy Gobert,21.006,C,,,2014,2016,144,21.8,6.6,7.6,1,0.6,1.9,0.588,0.59,0,0.6,11.4,0.174
3,2013,NBA,1,12,OKC,Steven Adams,19.347,C,,University of Pittsburgh,2014,2016,189,20.5,5.6,5.8,0.7,0.5,1,0.546,0.548,0,0.552,10,0.123
4,2013,NBA,1,15,MIL,Giannis Antetokounmpo,18.208,F-G,,,2014,2016,195,29.1,10.8,5.8,2.3,0.9,1,0.472,0.501,0.28,0.73,9.4,0.08
5,2013,NBA,1,4,CHA,Cody Zeller,20.27,F-C,,Indiana University,2014,2016,179,21,7.1,5.2,1.2,0.6,0.6,0.458,0.462,0.091,0.742,9.2,0.117
6,2013,NBA,1,21,UTA,Gorgui Dieng,23.166,C,,University of Louisville,2014,2016,171,23,7.7,6.7,1.4,0.8,1.2,0.507,0.508,0.375,0.762,9,0.109
7,2013,NBA,1,13,DAL,Kelly Olynyk,22.075,F,,Gonzaga University,2014,2016,170,21,9.4,4.8,1.6,0.8,0.5,0.466,0.511,0.36,0.728,8.5,0.114
8,2013,NBA,1,8,DET,Kentavious Caldwell-Pope,20.134,G,,University of Georgia,2014,2016,199,27.9,10.2,2.7,1.2,1.1,0.2,0.4,0.452,0.331,0.749,7.7,0.067
9,2013,NBA,1,2,ORL,Victor Oladipo,21.059,G,,Indiana University,2014,2016,188,32.6,15.3,4.3,4.1,1.6,0.4,0.423,0.453,0.332,0.801,6.4,0.05
10,2013,NBA,1,10,POR,C.J. McCollum,21.287,G,,Lehigh University,2014,2016,138,20.3,10.3,2,1.9,0.7,0.1,0.435,0.459,0.393,0.749,5.1,0.088
