
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
101,2015,NBA,2,56,NOP,Branden Dawson,22.149,F,,Michigan State University,2016,2016,2,6.5,1.0,1.5,0.0,0.0,0.5,.333,.333,,,0.0,.062
102,2013,NBA,1,1,CLE,Anthony Bennett,20.110,F,,University of Nevada Las Vegas,2014,2016,119,13.6,4.5,3.3,0.5,0.4,0.2,.388,.414,.253,.652,-0.1,-0.002
103,2013,NBA,2,40,POR,Grant Jerrett,19.359,F,,University of Arizona,2015,2015,8,6.4,2.0,1.1,0.4,0.3,0.3,.269,.545,.067,1.000,-0.1,-0.128
104,2013,NBA,2,49,CHI,Erik Murphy,22.250,F,,University of Florida,2014,2014,24,2.6,0.3,0.3,0.1,0.0,0.2,.231,.300,.000,,-0.1,-0.055
105,2014,NBA,1,5,UTA,Dante Exum,18.353,G,,,2015,2015,82,22.2,4.8,1.6,2.4,0.5,0.2,.349,.408,.314,.625,-0.1,-0.003
106,2014,NBA,2,31,MIL,Damien Inglis,19.042,F,,,2016,2016,8,5.3,1.0,1.1,0.3,0.3,0.0,.250,.333,.200,.750,-0.1,-0.082
107,2014,NBA,2,42,HOU,Nick Johnson,21.191,G,,University of Arizona,2015,2015,28,9.4,2.6,1.4,0.4,0.3,0.1,.347,.389,.238,.680,-0.1,-0.020
108,2014,NBA,2,49,CHI,Cameron Bairstow,23.207,F-C,,University of New Mexico,2015,2016,25,3.6,0.7,0.7,0.0,0.1,0.0,.269,.292,.000,.800,-0.1,-0.031
109,2015,NBA,1,2,LAL,D'Angelo Russell,19.127,G,,Ohio State University,2016,2016,37,27.1,11.7,3.9,3.4,1.2,0.2,.405,.464,.318,.686,-0.1,-0.005
110,2015,NBA,1,20,TOR,Delon Wright,23.065,G,,University of Utah,2016,2016,8,2.9,0.3,0.8,0.5,0.0,0.0,.125,.143,.000,,-0.1,-0.190
111,2015,NBA,1,21,DAL,Justin Anderson,21.223,G,,University of Virginia,2016,2016,21,6.7,2.2,1.1,0.2,0.1,0.1,.409,.565,.238,.500,-0.1,-0.018
112,2015,NBA,1,24,CLE,Tyus Jones,19.050,G,,Duke University,2016,2016,9,10.9,3.0,1.7,1.6,0.4,0.1,.355,.333,.500,.600,-0.1,-0.041
113,2015,NBA,1,25,MEM,Jarell Martin,21.037,F,,Louisiana State University,2016,2016,2,4.5,1.0,0.0,0.0,0.0,0.0,.200,.200,,,-0.1,-0.338
114,2015,NBA,2,41,BRK,Pat Connaughton,22.175,G,,University of Notre Dame,2016,2016,13,2.9,0.8,0.5,0.1,0.2,0.0,.250,.143,.400,1.000,-0.1,-0.142
115,2015,NBA,2,46,MIL,Norman Powell,22.036,G,,University of California Los Angeles,2016,2016,15,5.1,1.4,1.1,0.2,0.4,0.0,.313,.346,.167,.000,-0.1,-0.064
116,2013,NBA,2,35,PHI,Glen Rice,22.183,G,,Georgia Institute of Technology,2014,2015,16,9.5,2.7,1.5,0.6,0.4,0.1,.269,.286,.250,.692,-0.2,-0.065
117,2013,NBA,2,56,DET,Peyton Siva,22.252,G,,University of Louisville,2014,2014,24,9.3,2.3,0.6,1.4,0.4,0.0,.316,.344,.280,.733,-0.2,-0.032
118,2014,NBA,1,20,TOR,Bruno Caboclo,18.283,F,,,2015,2016,10,2.5,1.0,0.3,0.0,0.1,0.1,.308,.200,.667,,-0.2,-0.321
119,2014,NBA,2,36,MIL,Johnny O'Bryant III,21.030,F-C,,Louisiana State University,2015,2016,69,12.9,3.3,2.5,0.6,0.3,0.1,.404,.402,1.000,.556,-0.2,-0.010
120,2014,NBA,2,47,PHI,Russ Smith,23.074,G,,University of Louisville,2015,2016,27,4.9,2.0,0.6,0.7,0.3,0.0,.319,.387,.188,.769,-0.2,-0.062
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
121,2014,NBA,2,56,DEN,Roy Devyn Marble,21.283,G-F,,University of Iowa,2015,2016,22,10.1,1.8,1.5,0.8,0.5,0.1,.306,.440,.167,.294,-0.2,-0.047
122,2015,NBA,1,19,WAS,Jerian Grant,22.264,G,,University of Notre Dame,2016,2016,36,15.8,4.7,1.8,2.2,0.5,0.1,.345,.407,.128,.849,-0.2,-0.015
123,2014,NBA,1,13,MIN,Zach LaVine,19.113,G,,University of California Los Angeles,2015,2016,115,24.3,10.9,2.9,3.4,0.7,0.1,.417,.448,.327,.844,-0.3,-0.005
124,2013,NBA,1,30,PHO,Nemanja Nedovic,22.017,G,,,2014,2014,24,5.9,1.1,0.6,0.5,0.0,0.0,.205,.238,.167,.875,-0.4,-0.132
125,2014,NBA,2,34,NYK,Cleanthony Early,23.076,F,,Wichita State University,2015,2016,49,13.9,4.4,2.0,0.8,0.5,0.3,.359,.424,.261,.750,-0.4,-0.026
126,2015,NBA,1,16,BOS,Terry Rozier,21.105,G,,University of Louisville,2016,2016,16,6.0,1.7,1.0,0.6,0.0,0.0,.261,.286,.182,1.000,-0.4,-0.177
