
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1,2013,NBA,1,22,BRK,Mason Plumlee,23.120,F,,Duke University,2014,2016,192,21.2,8.4,5.9,1.3,0.8,0.8,.581,.585,.000,.563,12.0,.142
2,2013,NBA,1,27,DEN,Rudy Gobert,21.006,C,,,2014,2016,144,21.8,6.6,7.6,1.0,0.6,1.9,.588,.590,.000,.600,11.4,.174
3,2013,NBA,1,12,OKC,Steven Adams,19.347,C,,University of Pittsburgh,2014,2016,189,20.5,5.6,5.8,0.7,0.5,1.0,.546,.548,.000,.552,10.0,.123
4,2013,NBA,1,15,MIL,Giannis Antetokounmpo,18.208,F-G,,,2014,2016,195,29.1,10.8,5.8,2.3,0.9,1.0,.472,.501,.280,.730,9.4,.080
5,2013,NBA,1,4,CHA,Cody Zeller,20.270,F-C,,Indiana University,2014,2016,179,21.0,7.1,5.2,1.2,0.6,0.6,.458,.462,.091,.742,9.2,.117
6,2013,NBA,1,21,UTA,Gorgui Dieng,23.166,C,,University of Louisville,2014,2016,171,23.0,7.7,6.7,1.4,0.8,1.2,.507,.508,.375,.762,9.0,.109
7,2013,NBA,1,13,DAL,Kelly Olynyk,22.075,F,,Gonzaga University,2014,2016,170,21.0,9.4,4.8,1.6,0.8,0.5,.466,.511,.360,.728,8.5,.114
8,2013,NBA,1,8,DET,Kentavious Caldwell-Pope,20.134,G,,University of Georgia,2014,2016,199,27.9,10.2,2.7,1.2,1.1,0.2,.400,.452,.331,.749,7.7,.067
9,2013,NBA,1,2,ORL,Victor Oladipo,21.059,G,,Indiana University,2014,2016,188,32.6,15.3,4.3,4.1,1.6,0.4,.423,.453,.332,.801,6.4,.050
10,2013,NBA,1,10,POR,C.J. McCollum,21.287,G,,Lehigh University,2014,2016,138,20.3,10.3,2.0,1.9,0.7,0.1,.435,.459,.393,.749,5.1,.088
11,2013,NBA,1,3,WAS,Otto Porter,20.029,F,,Georgetown University,2014,2016,143,19.5,6.5,3.2,1.0,0.7,0.3,.446,.503,.311,.753,5.0,.087
12,2013,NBA,1,9,MIN,Trey Burke,20.232,G,,University of Michigan,2014,2016,183,29.7,12.7,2.7,4.5,0.7,0.1,.384,.418,.329,.812,4.9,.043
13,2013,NBA,1,6,NOH,Nerlens Noel,19.083,F-C,,University of Kentucky,2015,2016,109,30.4,10.1,8.2,1.6,1.7,1.7,.476,.476,,.594,4.8,.070
