	namekeys	Player	Year	Rd	Pk	Tm
0	masonplumlee	Mason Plumlee	2013	1	22	BRK
1	rudygobert	Rudy Gobert	2013	1	27	DEN
2	stevenadams	Steven Adams	2013	1	12	OKC
3	giannisantetokounmpo	Giannis Antetokounmpo	2013	1	15	MIL
4	codyzeller	Cody Zeller	2013	1	4	CHA
5	gorguidieng	Gorgui Dieng	2013	1	21	UTA
6	kellyolynyk	Kelly Olynyk	2013	1	13	DAL
7	kentaviouscaldwellpope	Kentavious Caldwell-Pope	2013	1	8	DET
8	victoroladipo	Victor Oladipo	2013	1	2	ORL
9	cjmccollum	C.J. McCollum	2013	1	10	POR
10	ottoporter	Otto Porter	2013	1	3	WAS
11	treyburke	Trey Burke	2013	1	9	MIN
12	nerlensnoel	Nerlens Noel	2013	1	6	NOH
13	tonysnell	Tony Snell	2013	1	20	CHI
14	alexlen	Alex Len	2013	1	5	PHO
15	andreroberson	Andre Roberson	2013	1	26	MIN
16	solomonhill	Solomon Hill	2013	1	23	IND
17	rodneyhood	Rodney Hood	2014	1	23	UTA
18	jeffwithey	Jeff Withey	2013	2	39	POR
19	timhardaway	Tim Hardaway	2013	1	24	NYK
20	shabazzmuhammad	Shabazz Muhammad	2013	1	14	UTA
21	benmclemore	Ben McLemore	2013	1	7	SAC
22	elfridpayton	Elfrid Payton	2014	1	10	PHI
23	marcussmart	Marcus Smart	2014	1	6	BOS
24	jordanclarkson	Jordan Clarkson	2014	2	46	WAS
25	karlanthonytowns	Karl-Anthony Towns	2015	1	1	MIN
26	andrewwiggins	Andrew Wiggins	2014	1	1	CLE
27	allencrabbe	Allen Crabbe	2013	2	31	CLE
28	ryankelly	Ryan Kelly	2013	2	48	LAL
29	aarongordon	Aaron Gordon	2014	1	4	ORL
30	tjwarren	T.J. Warren	2014	1	14	PHO
31	dennisschroder	Dennis Schroder	2013	1	17	ATL
32	michaelcarterwilliams	Michael Carter-Williams	2013	1	11	PHI
33	dwightpowell	Dwight Powell	2014	2	45	CHH
34	shanelarkin	Shane Larkin	2013	1	18	ATL
35	mikemuscala	Mike Muscala	2013	2	44	DAL
36	jabariparker	Jabari Parker	2014	1	2	MIL
37	clintcapela	Clint Capela	2014	1	25	HOU
38	kristapsporzingis	Kristaps Porzingis	2015	1	4	NYK
39	nikolajokic	Nikola Jokic	2014	2	41	DEN
40	raymccallum	Ray McCallum	2013	2	36	SAC
41	isaiahcanaan	Isaiah Canaan	2013	2	34	HOU
42	jamesennis	James Ennis	2013	2	50	ATL
43	jusufnurkic	Jusuf Nurkic	2014	1	16	CHI
44	kyleanderson	Kyle Anderson	2014	1	30	SAS
45	jeramigrant	Jerami Grant	2014	2	39	PHI
46	larrynancejr	Larry Nance Jr.	2015	1	27	LAL
47	mitchmcgary	Mitch McGary	2014	1	21	OKC
48	richaunholmes	Richaun Holmes	2015	2	37	PHI
49	noahvonleh	Noah Vonleh	2014	1	9	CHH
50	williecauleystein	Willie Cauley-Stein	2015	1	6	SAC
51	frankkaminsky	Frank Kaminsky	2015	1	9	CHO
52	natewolters	Nate Wolters	2013	2	38	WAS
53	joffreylauvergne	Joffrey Lauvergne	2013	2	55	MEM
54	dougmcdermott	Doug McDermott	2014	1	11	DEN
55	pjhairston	P.J. Hairston	2014	1	26	MIA
56	devinbooker	Devin Booker	2015	1	13	PHO
57	rondaehollisjefferson	Rondae Hollis-Jefferson	2015	1	23	POR
58	coryjefferson	Cory Jefferson	2014	2	60	SAS
59	jahlilokafor	Jahlil Okafor	2015	1	3	PHI
60	cameronpayne	Cameron Payne	2015	1	14	OKC
61	archiegoodwin	Archie Goodwin	2013	1	29	OKC
62	shabazznapier	Shabazz Napier	2014	1	24	CHH
63	glennrobinsoniii	Glenn Robinson III	2014	2	40	MIN
64	stanleyjohnson	Stanley Johnson	2015	1	8	DET
65	mylesturner	Myles Turner	2015	1	11	IND
66	sergeykarasev	Sergey Karasev	2013	1	19	CLE
67	raulneto	Raul Neto	2013	2	47	ATL
68	kjmcdaniels	K.J. McDaniels	2014	2	32	PHI
69	jarnellstokes	Jarnell Stokes	2014	2	35	UTA
70	justisewinslow	Justise Winslow	2015	1	10	MIA
71	lucasnogueira	Lucas Nogueira	2013	1	16	BOS
72	jamesyoung	James Young	2014	1	17	BOS
73	garyharris	Gary Harris	2014	1	19	CHI
74	jordanadams	Jordan Adams	2014	1	22	MEM
75	markelbrown	Markel Brown	2014	2	44	MIN
76	mariohezonja	Mario Hezonja	2015	1	5	ORL
77	kellyoubre	Kelly Oubre	2015	1	15	ATL
78	bobbyportis	Bobby Portis	2015	1	22	CHI
79	juliusrandle	Julius Randle	2014	1	7	LAL
80	treylyles	Trey Lyles	2015	1	12	UTA
81	montrezlharrell	Montrezl Harrell	2015	2	32	HOU
82	tonymitchell	Tony Mitchell	2013	2	37	DET
83	nikstauskas	Nik Stauskas	2014	1	8	SAC
84	joeharris	Joe Harris	2014	2	33	CLE
85	spencerdinwiddie	Spencer Dinwiddie	2014	2	38	DET
86	rjhunter	R.J. Hunter	2015	1	28	BOS
87	reggiebullock	Reggie Bullock	2013	1	25	LAC
88	waltertavares	Walter Tavares	2014	2	43	ATL
89	lamarpatterson	Lamar Patterson	2014	2	48	MIL
90	jordanmickey	Jordan Mickey	2015	2	33	BOS
91	carrickfelix	Carrick Felix	2013	2	33	CLE
92	jamaalfranklin	Jamaal Franklin	2013	2	41	MEM
93	erickgreen	Erick Green	2013	2	46	UTA
94	lorenzobrown	Lorenzo Brown	2013	2	52	MIN
95	cjwilcox	C.J. Wilcox	2014	1	28	LAC
96	samdekker	Sam Dekker	2015	1	18	HOU
97	darrunhilliard	Darrun Hilliard	2015	2	38	DET
98	joshrichardson	Josh Richardson	2015	2	40	MIA
99	josephyoung	Joseph Young	2015	2	43	IND
100	brandendawson	Branden Dawson	2015	2	56	NOP
101	anthonybennett	Anthony Bennett	2013	1	1	CLE
102	grantjerrett	Grant Jerrett	2013	2	40	POR
103	erikmurphy	Erik Murphy	2013	2	49	CHI
104	danteexum	Dante Exum	2014	1	5	UTA
105	damieninglis	Damien Inglis	2014	2	31	MIL
106	nickjohnson	Nick Johnson	2014	2	42	HOU
107	cameronbairstow	Cameron Bairstow	2014	2	49	CHI
108	dangelorussell	D'Angelo Russell	2015	1	2	LAL
109	delonwright	Delon Wright	2015	1	20	TOR
110	justinanderson	Justin Anderson	2015	1	21	DAL
111	tyusjones	Tyus Jones	2015	1	24	CLE
112	jarellmartin	Jarell Martin	2015	1	25	MEM
113	patconnaughton	Pat Connaughton	2015	2	41	BRK
114	normanpowell	Norman Powell	2015	2	46	MIL
115	glenrice	Glen Rice	2013	2	35	PHI
116	peytonsiva	Peyton Siva	2013	2	56	DET
117	brunocaboclo	Bruno Caboclo	2014	1	20	TOR
118	johnnyobryantiii	Johnny O'Bryant III	2014	2	36	MIL
119	russsmith	Russ Smith	2014	2	47	PHI
120	roydevynmarble	Roy Devyn Marble	2014	2	56	DEN
121	jeriangrant	Jerian Grant	2015	1	19	WAS
122	zachlavine	Zach LaVine	2014	1	13	MIN
123	nemanjanedovic	Nemanja Nedovic	2013	1	30	PHO
124	cleanthonyearly	Cleanthony Early	2014	2	34	NYK
125	terryrozier	Terry Rozier	2015	1	16	BOS
126	rashadvaughn	Rashad Vaughn	2015	1	17	MIL
127	anthonybrown	Anthony Brown	2015	2	34	LAL
128	tylerennis	Tyler Ennis	2014	1	18	PHO
129	rickyledo	Ricky Ledo	2013	2	43	MIL
130	adreianpayne	Adreian Payne	2014	1	15	ATL
131	emmanuelmudiay	Emmanuel Mudiay	2015	1	7	DEN
132	liviojeancharles	Livio Jean-Charles	2013	1	28	SAS
133	alexabrines	Alex Abrines	2013	2	32	OKC
134	pierrejackson	Pierre Jackson	2013	2	42	PHI
135	markotodorovic	Marko Todorovic	2013	2	45	POR
136	romeroosby	Romero Osby	2013	2	51	ORL
137	coltoniverson	Colton Iverson	2013	2	53	IND
138	arsalankazemi	Arsalan Kazemi	2013	2	54	WAS
139	alexoriakhi	Alex Oriakhi	2013	2	57	PHO
140	deshaunthomas	Deshaun Thomas	2013	2	58	SAS
141	bojandubljevic	Bojan Dubljevic	2013	2	59	MIN
142	janistimma	Janis Timma	2013	2	60	MEM
143	joelembiid	Joel Embiid	2014	1	3	PHI
144	dariosaric	Dario Saric	2014	1	12	ORL
145	bogdanbogdanovic	Bogdan Bogdanovic	2014	1	27	PHO
146	joshhuestis	Josh Huestis	2014	1	29	OKC
147	deandredaniels	DeAndre Daniels	2014	2	37	TOR
148	alecbrown	Alec Brown	2014	2	50	PHO
149	thanasisantetokounmpo	Thanasis Antetokounmpo	2014	2	51	NYK
150	vasilijemicic	Vasilije Micic	2014	2	52	PHI
151	alessandrogentile	Alessandro Gentile	2014	2	53	MIN
152	nemanjadangubic	Nemanja Dangubic	2014	2	54	PHI
153	semajchriston	Semaj Christon	2014	2	55	MIA
154	louislabeyrie	Louis Labeyrie	2014	2	57	IND
155	jordanmcrae	Jordan McRae	2014	2	58	SAS
156	xavierthames	Xavier Thames	2014	2	59	TOR
157	nikolamilutinov	Nikola Milutinov	2015	1	26	SAS
158	chrismccullough	Chris McCullough	2015	1	29	BRK
159	kevonlooney	Kevon Looney	2015	1	30	GSW
160	cediosman	Cedi Osman	2015	2	31	MIN
161	willyhernangomez	Willy Hernangomez	2015	2	35	PHI
162	rakeemchristmas	Rakeem Christmas	2015	2	36	MIN
163	juanpablovaulet	Juan Pablo Vaulet	2015	2	39	CHO
164	olivierhanlan	Olivier Hanlan	2015	2	42	UTA
165	andrewharrison	Andrew Harrison	2015	2	44	PHO
166	marcusthornton	Marcus Thornton	2015	2	45	BOS
167	arturasgudaitis	Arturas Gudaitis	2015	2	47	PHI
168	dakarijohnson	Dakari Johnson	2015	2	48	OKC
169	aaronwhite	Aaron White	2015	2	49	WAS
170	marcuseriksson	Marcus Eriksson	2015	2	50	ATL
171	tylerharvey	Tyler Harvey	2015	2	51	ORL
172	satnamsingh	Satnam Singh	2015	2	52	DAL
173	sirdominicpointer	Sir'Dominic Pointer	2015	2	53	CLE
174	danidiez	Dani Diez	2015	2	54	UTA
175	cadylalanne	Cady Lalanne	2015	2	55	SAS
176	nikolaradicevic	Nikola Radicevic	2015	2	57	DEN
177	jptokoto	J.P. Tokoto	2015	2	58	PHI
178	dimitriosagravanis	Dimitrios Agravanis	2015	2	59	ATL
179	lukamitrovic	Luka Mitrovic	2015	2	60	PHI
